Origin,Artist_Name,Artwork_Name,Year
None,Agostino Bonalumi,Bianco,1989
None,Agostino Bonalumi,Azzurro,1997
None,Agostino Bonalumi,Rosso,1999
None,Aki Kuroda,Le temps,1975
None,Aki Kuroda,First Night I,1979
None,Aki Kuroda,Untitled #5,1982
None,Aki Kuroda,Untitled,1987
None,Aki Kuroda,Untitled,1988
None,Aki Kuroda,Untitled,1988
None,Aki Kuroda,Untitled,1995
None,Aki Kuroda,Yellow Box-Pass,1996
None,Aki Kuroda,Untitled,1998
None,Aki Kuroda,Untitled,1998
None,Akira Kanayama,Balloon,1955
None,Akira Kanayama,Ashiato,1956
None,Akira Kanayama,Work,1957
None,Akira Kanayama,Work,1957
None,Akira Kanayama,Work,1957
None,Akira Kanayama,Work,1957
None,Al Held,Untitled,1954
None,Al Held,Untitled,1955
None,Al Held,Taxi Cab II,1959
None,Al Held,Untitled #6,1959
None,Al Held,Untitled (F 60-1),1959
None,Al Held,Untitled (G-60-06),1959
None,Al Held,Untitled,1959
None,Al Held,Untitled,1960
None,Al Held,Untitled,1960
None,Al Held,Composition,1961
None,Al Held,Purple Triangle,1963
None,Al Held,Maltese Cross,1964
None,Al Held,The Big N,1964
None,Al Held,White Square,1965
None,Al Held,Yellow,1965
None,Al Held,Acracropolis,1966
None,Al Held,Thalocropolis,1966
None,Al Held,Mao,1967
None,Al Held,Untitled,1967
None,Al Held,Untitled,1968
None,Al Held,C-B-1,1978
None,Al Held,Trajans Edge II,1982
None,Al Held,Vorcex IV,1984
None,Al Held,Straits of Malacca,1987
None,Al Held,Orion II,1989
None,Al Held,Pachinko,1989
None,Al Held,Indigo,1990
None,Al Held,Morre XXII,1994
None,Al Held,Prime Moments II,1999
None,Aladar Korosfoi-Kriesch,"Ego sum via, veritas et vita",1903
None,Aladar Korosfoi-Kriesch,Vanity,1904
None,Aladar Korosfoi-Kriesch,Memory,1905
None,Aladar Korosfoi-Kriesch,Fountain of Art,1907
None,Aladar Korosfoi-Kriesch,Pupppet Theatre,1907
None,Aladar Korosfoi-Kriesch,Cassandra,1908
None,Aladar Korosfoi-Kriesch,Madonna,1908
None,Aladar Korosfoi-Kriesch,All Souls' Day,1910
None,Aladar Korosfoi-Kriesch,The Story of Klára Zách I,1911
None,Aladar Korosfoi-Kriesch,The Story of Klára Zách II,1911
None,Aladar Korosfoi-Kriesch,Székely Folk Tales,1912
None,Aladar Korosfoi-Kriesch,Fair,1917
None,Aladar Korosfoi-Kriesch,Eagles above the Hero's Grave,1918
None,Aladar Korosfoi-Kriesch,The Good Pastor,1918
None,Alan Charlton,Channel Painting No. 6,1975
None,Alan Charlton,12 Part Line Painting,1984
None,Alan Charlton,Corner Paintings (in 8 parts),1986
None,Alan Charlton,Untitled,1988
None,Alan Charlton,Untitled,1989
None,Alan Charlton,2 Part Vertical Painting,1991
None,Alan Charlton,20 Part Line Painting,1991
None,Alan Charlton,Painting with Four Square Holes,1991
None,Alan Charlton,Single Horizontal Slot Painting,1991
None,Alan Charlton,Border Painting (in 5 parts),1995
None,Alan Charlton,Horizontal Painting in 7 Vertical Parts,1996
None,Albert Anker,Le Vieux Schnapseur - Un Jules Avec Verre De Schnaps,1900
None,Albert Anker,Bildnis eines blonden MÃ¤dchens,1901
None,Albert Anker,Old man taking a rest (Gyp),1901
None,Albert Anker,Junge Frau einen Brief schreibend,1903
None,Albert Anker,Sitzendes MÃ¤dchen mit einer Katze,1903
None,Albert Anker,Ã„ltere Frau in der Bibel lesend,1904
None,Albert Anker,Sitzende BÃ¤uerin beim Stricken,1904
None,Albert Anker,Grossvater mit Zeitung,1906
None,Albert Anker,MÃ¤dchen in Winterlandschaft,1906
None,Albert Anker,The absinthe drinker,1907
None,Albert Anker,The Absinth Drinker,1908
None,Albert Anker,Schreibender Knabe,1908
None,Albert Anker,Self-Portrait,1908
None,Albert Anker,Lesender Mann,1909
None,Albert Anker,BÃ¤uerin am Spinnrad,1910
None,Albert Anker,"MÃ¤dchen, Kaffee trinkend",1910
None,Albert Bierstadt,Butterfly,1900
None,Albert Bierstadt,Butterfly (second version),1900
None,Albert Bierstadt,The Golden Gate,1900
None,Albert Bierstadt,Butterfly,1900
None,Albert Bierstadt,Butterfly (second version),1900
None,Albert Bierstadt,The Golden Gate,1900
None,Albert Bitran,Ours Petrifies,1958
None,Albert Bitran,Untitled,1970
None,Albert Bitran,Composition,1971
None,Albert Bitran,Moins visible,1972
None,Albert Bitran,Composition,1974
None,Albert Bitran,Untitled,1975
None,Albert Bitran,Composition bleu au dessin,1980
None,Albert Bitran,Anguilaine gris et rouge,1983
None,Albert Bitran,"Noir, Jaune et bleu",1991
None,Albert Bitran,Arcades,1997
None,Albert Bloch,Harlequinade,1911
None,Albert Bloch,Head,1911
None,Albert Bloch,Portrait of a Man,1911
None,Albert Bloch,The dancer (Ragtime),1911
None,Albert Bloch,The Three Pierrots No. 2,1911
None,Albert Bloch,Duel,1912
None,Albert Bloch,The four Pierrots,1912
None,Albert Bloch,Summer Night,1913
None,Albert Bloch,The green dress,1913
None,Albert Bloch,Lied I,1914
None,Albert Bloch,Night II,1914
None,Albert Bloch,Three Pierrots and Harlequin,1914
None,Albert Bloch,Figures on Dark Ground,1916
None,Albert Bloch,Night in the Valley,1917
None,Albert Bloch,Night V,1917
None,Albert Bloch,Souvenir,1921
None,Albert Bloch,Pilgrims in the Snow,1925
None,Albert Bloch,Scherzo,1926
None,Albert Bloch,Saint Francis in the Woods,1927
None,Albert Bloch,Blue Waterfall,1932
None,Albert Bloch,The house next door,1934
None,Albert Bloch,Walk to Emmaus,1938
None,Albert Bloch,Winter in the dead wood,1938
None,Albert Bloch,The Garden of Asses II,1939
None,Albert Bloch,Old Graverayd,1940
None,Albert Bloch,Gulls,1941
None,Albert Bloch,March of the clowns,1941
None,Albert Bloch,The blind man,1942
None,Albert Bloch,Masked Portrait (Georg Trakl),1943
None,Albert Bloch,Windy Night Sky,1944
None,Albert Bloch,Jordan,1946
None,Albert Bloch,Gethsemane,1948
None,Albert Bloch,Metamorphosis,1948
None,Albert Bloch,Conversation,1950
None,Albert Bloch,Vision in a Summer Night,1951
None,Albert Bloch,The Blue Bough,1952
None,Albert Bloch,Blue Eclipse,1955
None,Albert Bloch,Impromptu,1959
None,Albert Bloch,Prodigal,1959
None,Albert Gleizes,Sitting nude,1909
None,Albert Gleizes,Houses in a Valley,1910
None,Albert Gleizes,Landscape with Bridge and Viaduct,1910
None,Albert Gleizes,La Chasse,1911
None,Albert Gleizes,Portrait de Jacques Nayral,1911
None,Albert Gleizes,Football Players,1912
None,Albert Gleizes,The Swimmers ,1912
None,Albert Gleizes,Femmes cousant,1913
None,Albert Gleizes,Landscape with Chimneys,1913
None,Albert Gleizes,Woman with Animals,1914
None,Albert Gleizes,Paysage,1914
None,Albert Gleizes,Portrait of Igor Stravinsky,1914
None,Albert Gleizes,Two Women Seated by a Window,1914
None,Albert Gleizes,Composition (For Jazz),1915
None,Albert Gleizes,New York,1915
None,Albert Gleizes,Acrobats,1916
None,Albert Gleizes,On Brooklyn Bridge,1917
None,Albert Gleizes,Femme Cubiste,1921
None,Albert Gleizes,Figure Cubiste,1921
None,Albert Gleizes,Femme au Fauteuil,1923
None,Albert Gleizes,The Schoolboy ,1924
None,Albert Gleizes,Composition,1928
None,Albert Gleizes,Arabesque brush or Cubist Composition,1952
None,Albert Irvin,Parade,1974
None,Albert Irvin,Flodden,1978
None,Albert Irvin,Cathay,1979
None,Albert Irvin,Paradise,1979
None,Albert Irvin,Seneca,1979
None,Albert Irvin,Vincent,1979
None,Albert Irvin,Orlando,1980
None,Albert Irvin,Empress,1982
None,Albert Irvin,Festival,1983
None,Albert Irvin,Renfrew,1983
None,Albert Irvin,Woolhara,1986
None,Albert Irvin,Alba,1987
None,Albert Irvin,Buchanan,1987
None,Albert Irvin,Pomona,1991
None,Albert Irvin,St. Germain,1995
None,Albert Marquet,Village Cafe,1900
None,Albert Marquet,Farmyard at La Percaillerie (Normandy),1901
None,Albert Marquet,"Pons, Charente-Maritime",1901
None,Albert Marquet,The Apse of Notre Dame,1901
None,Albert Marquet,Notre-Dame in Winter,1902
None,Albert Marquet,The Coffeepot,1902
None,Albert Marquet,Unloading Sand,1902
None,Albert Marquet,Self-Portrait,1904
None,Albert Marquet,The Port of Marseliles,1904
