Country,Artist_Name,Artwork_Name,Year
Australian,Fred Williams,Saplings Mittagong II,1961
Australian,Fred Williams,Sapling Forest,1962
Australian,Fred Williams,Hillside I,1965
Australian,Fred Williams,Upwey Landscape II,1965
Australian,Fred Williams,Hillock,1966
Australian,Fred Williams,Waterpond in a Landscape II,1966
Australian,Fred Williams,Seascape with Boat Mornington,1968
Australian,Fred Williams,Yellow Landscape,1969
Australian,Fred Williams,Dight's Falls,1974
Australian,Fred Williams,Landscape with Acacias,1974
Australian,Fred Williams,Landscape with Goose,1974
Australian,Fred Williams,"Boab trees, Kimberley's",1981
Australian,Fred Williams,Iron ore landscape,1981
Australian,Frederick McCubbin,The pioneer,1904
Australian,Frederick McCubbin,Winter Sunlight,1908
Australian,Frederick McCubbin,The cottage children (Rain and sunshine),1910
Australian,Frederick McCubbin,Violet and gold,1911
Australian,Frederick McCubbin,Golden sunlight,1914
Australian,Frederick McCubbin,Collins Street,1915
Australian,Frederick McCubbin,"The old ship, Williamstown",1915
Australian,George Washington Lambert,Self Portrait,1901
Australian,George Washington Lambert,Hugh Ramsay ,1902
Australian,George Washington Lambert,Miss Thea Proctor ,1903
Australian,George Washington Lambert,Sybil Waller in a Red and Gold Dress ,1905
Australian,George Washington Lambert,Self-portrait,1906
Australian,George Washington Lambert,Francis Derwent Wood ,1906
Australian,George Washington Lambert,Burke and Wills on the Way to Mount Hopeless ,1907
Australian,George Washington Lambert,The Holiday Group ,1907
Australian,George Washington Lambert,Horse Fair ,1908
Australian,George Washington Lambert,Portrait Group,1908
Australian,George Washington Lambert,The Pond ,1908
Australian,George Washington Lambert,Holiday in Essex ,1910
Australian,George Washington Lambert,Pan is dead (still life) ,1911
Australian,George Washington Lambert,Priscilla ,1911
Australian,George Washington Lambert,The Belle of the Alley ,1913
Australian,George Washington Lambert,Anzacs Bathing in the Sea ,1914
Australian,George Washington Lambert,Constant Lambert as a Christ's Hospital Schoolboy ,1916
Australian,George Washington Lambert,Destruction of Arras ,1916
Australian,George Washington Lambert,Portrait of a Lady (also known as Thea Proctor) ,1916
Australian,George Washington Lambert,Daune O'Neill ,1917
Australian,George Washington Lambert,Portrait of Australian Painter Arthur Streeton ,1917
Australian,George Washington Lambert,Ayunkara ,1918
Australian,George Washington Lambert,Monastery in the Ravine of Wady Kelt ,1918
Australian,George Washington Lambert,"The Sea of Galilee, looking towards Semakh from Tiberias Road ",1919
Australian,George Washington Lambert,Tiberias ,1919
Australian,George Washington Lambert,A Sergeant of Light Horse in Palestine ,1920
Australian,George Washington Lambert,The White Glove ,1921
Australian,George Washington Lambert,Weighing the Fleece ,1921
Australian,George Washington Lambert,"Anzac, the Landing ",1922
Australian,George Washington Lambert,Michelago Landscape ,1923
Australian,George Washington Lambert,Portrait of Charles E.W. Bean ,1924
Australian,George Washington Lambert,The Squatter's Daughter ,1924
Australian,George Washington Lambert,Egg and Cauliflower ,1926
Australian,George Washington Lambert,Mrs Annie Murdoch ,1927
Australian,George Washington Lambert,Portrait of Julian Ashton ,1928
Australian,Godfrey Blow,Down South,1986
Australian,Godfrey Blow,By the River at Guilford,1994
Australian,Godfrey Blow,The Rings of Time,1994
Australian,Godfrey Blow,After Gutting the Trout,1996
Australian,Godfrey Blow,Plant and Face,1996
Australian,Godfrey Blow,Forgotten People,1997
Australian,Godfrey Blow,Return of the Prodigal,1997
Australian,Godfrey Blow,The Old Man Beneath His Favourite Tree,1997
