"state","year","ac_no","ac_name","ac_type","cand1","party1","votes1","position","vote_percent"
"Madras",1967,150,"MUSIRI","GEN","K.V.K.REDDIAR","INC",27750,2,43.8
"Madras",1967,150,"MUSIRI","GEN","RAJAN","IND",1589,3,2.51
"Madras",1967,150,"MUSIRI","GEN","R.PARTHASARTHI","BJS",737,4,1.16
"Madras",1967,150,"MUSIRI","GEN","P.S.GOVINDAN","IND",662,5,1.04
"Madras",1967,151,"UPPILIAPURAM","GEN","T.P.ALAGAMUTHU","DMK",43453,1,56.29
"Madras",1967,151,"UPPILIAPURAM","GEN","A.V.MUDALIAR","INC",31416,2,40.69
"Madras",1967,151,"UPPILIAPURAM","GEN","P.CHINNASAMY","IND",2330,3,3.02
"Madras",1967,152,"PERAMBALUR","SC","J.S.RASU","DMK",33657,1,51.03
"Madras",1967,152,"PERAMBALUR","SC","M.AYYAKANNU","INC",28864,2,43.76
"Madras",1967,152,"PERAMBALUR","SC","T.KALIYAPERUMAL","IND",1978,3,3
"Madras",1967,152,"PERAMBALUR","SC","S.KANDASAMY","IND",1088,4,1.65
"Madras",1967,152,"PERAMBALUR","SC","M.PALANIMUTHU","IND",372,5,0.56
"Madras",1967,153,"VARAHUR","GEN","R.NARAYANAN","DMK",32846,1,49.64
"Madras",1967,153,"VARAHUR","GEN","M.V.PERUMAL","INC",20533,2,31.03
"Madras",1967,153,"VARAHUR","GEN","R.UDAYAR","IND",9230,3,13.95
"Madras",1967,153,"VARAHUR","GEN","PALANIMUTHU","IND",2173,4,3.28
"Madras",1967,153,"VARAHUR","GEN","KRISHNAN","IND",1387,5,2.1
"Madras",1967,154,"ANDIMADAM","GEN","K.N.RAMCHANDRAN","DMK",32253,1,48.25
"Madras",1967,154,"ANDIMADAM","GEN","M.S.T.PANDAYACHI","INC",26570,2,39.75
"Madras",1967,154,"ANDIMADAM","GEN","A.S.KURUKKAL","IND",8023,3,12
"Madras",1967,155,"JAYANKONDAM","SC","K.A.A.K.MOORTHY","DMK",34751,1,52.57
"Madras",1967,155,"JAYANKONDAM","SC","S.RAMASAMI","INC",28791,2,43.56
"Madras",1967,155,"JAYANKONDAM","SC","RATHINAM","IND",1607,3,2.43
"Madras",1967,155,"JAYANKONDAM","SC","K. NAYATHAN","IND",951,4,1.44
"Madras",1967,156,"ARIYALUR","GEN","R.KARUPPIAM","INC",26440,1,37.37
"Madras",1967,156,"ARIYALUR","GEN","G.SEPPERUMAL","DMK",25017,2,35.36
"Madras",1967,156,"ARIYALUR","GEN","S.RAMASAMI","IND",19294,3,27.27
"Madras",1967,157,"LALGUDI","GEN","D.NATARAJAN","DMK",37352,1,50.63
"Madras",1967,157,"LALGUDI","GEN","D.R.UDAIYAR","INC",34712,2,47.05
"Madras",1967,157,"LALGUDI","GEN","R.RAMADOSS","IND",841,3,1.14
"Madras",1967,157,"LALGUDI","GEN","S.IRUDAYANESAN","IND",568,4,0.77
"Madras",1967,157,"LALGUDI","GEN","S.AYINRAJU","IND",303,5,0.41
"Madras",1967,158,"SRIRANGAM","SC","S.RAMALINGAM","INC",34474,1,50.48
"Madras",1967,158,"SRIRANGAM","SC","M.ARUNA","DMK",33356,2,48.84
"Madras",1967,158,"SRIRANGAM","SC","A.KALIMUTHU","IND",463,3,0.68
"Madras",1967,159,"TIRUCHIRAPPALLI I","GEN","M.S.MANI","DMK",34504,1,52.07
"Madras",1967,159,"TIRUCHIRAPPALLI I","GEN","A.S.G.L.PILIAI","INC",31199,2,47.08
"Madras",1967,159,"TIRUCHIRAPPALLI I","GEN","V.RENGARASAN","BJS",562,3,0.85
"Madras",1967,160,"TIRUCHIRAPPALLI I I","GEN","R.NAGASUNDARAM","DMK",26048,1,46.08
"Madras",1967,160,"TIRUCHIRAPPALLI I I","GEN","M.K.M.A.SALAM","INC",18842,2,33.33
"Madras",1967,160,"TIRUCHIRAPPALLI I I","GEN","M.KALYANASUNDARAM","CPI",11638,3,20.59
"Madras",1967,161,"THIRUVARAMBUR","GEN","V.SWAMINATHAN","INC",33513,1,50.15
