state,key_year,year,month,sa_no
Uttarakhand,2007,2007,2,2
Uttarakhand,2012,2012,2,3
Jammu_&_Kashmir,1962,1962,2,1
Jammu_&_Kashmir,1967,1967,2,2
Jammu_&_Kashmir,1972,1972,2,3
Jammu_&_Kashmir,1977,1977,2,4
Jammu_&_Kashmir,1983,1983,2,5
Jammu_&_Kashmir,1987,1987,2,6
Jammu_&_Kashmir,1996,1996,2,7
Jammu_&_Kashmir,2002,2002,2,8
Jammu_&_Kashmir,2008,2008,2,9
Jammu_&_Kashmir,2014,2014,2,10
Arunachal_Pradesh,1978,1978,2,1
Arunachal_Pradesh,1980,1980,2,2
Arunachal_Pradesh,1984,1984,2,3
Arunachal_Pradesh,1990,1990,2,4
Arunachal_Pradesh,1995,1995,2,5
Arunachal_Pradesh,1999,1999,2,6
Arunachal_Pradesh,2004,2004,2,7
Arunachal_Pradesh,2009,2009,2,8
Arunachal_Pradesh,2014,2014,2,9
Tamil_Nadu,1971,1971,2,1
Tamil_Nadu,1977,1977,2,2
Tamil_Nadu,1980,1980,2,3
Tamil_Nadu,1984,1984,2,4
Tamil_Nadu,1989,1989,2,5
Tamil_Nadu,1991,1991,2,6
Tamil_Nadu,1996,1996,2,7
Tamil_Nadu,2001,2001,2,8
Tamil_Nadu,2006,2006,2,9
Tamil_Nadu,2011,2011,2,10
Tamil_Nadu,2016,2016,2,11
Mizoram,1972,1972,2,1
Mizoram,1978,1978,2,2
Mizoram,1979,1979,2,3
Mizoram,1984,1984,2,4
Mizoram,1987,1987,2,5
Mizoram,1989,1989,2,6
Mizoram,1993,1993,2,7
Mizoram,1998,1998,2,8
Mizoram,2003,2003,2,9
Mizoram,2008,2008,2,10
Mizoram,2013,2013,2,11
