	Countries	Value	Parent	1950	1955	1960	1965	1970	1975	1980	1985	1990	1995	2000	2005	2010	2015
101	Luxembourg	2590.0	World	296.001	305.268	314.588	330.166	339.676	353.991	364.049	366.888	381.79	408.152	436.111	457.847	507.885	543.261
102	Madagascar	587295.0	World	4083.554	4543.542	5099.371	5769.219	6576.301	7575.757	8746.516	9981.113	11545.782	13452.526	15744.811	18290.394	21079.532	24235.39
103	Malawi	118480.0	World	2880.7	3166.448	3525.127	3973.96	4529.749	5299.532	6236.824	7264.519	9447.123	9964.065	11321.496	12924.746	15013.694	17308.685
104	Malaysia	330800.0	World	6109.907	7016.097	8160.975	9569.784	10908.634	12311.782	13833.739	15764.34	18211.097	20725.374	23420.751	25843.466	28275.835	30651.176
105	Maldives	300.0	World	73.716	79.225	88.96	101.381	114.15	134.077	154.316	183.538	215.859	244.965	272.745	297.576	325.694	357.981
106	Mali	1240190.0	World	4637.634	4844.041	5098.942	5374.327	5716.294	6191.134	6735.247	7405.201	7964.066	8988.853	10260.577	11941.258	13985.961	16258.587
107	Malta	320.0	World	311.997	315.111	314.241	307.095	304.932	308.025	329.937	354.497	375.295	395.615	407.529	414.747	424.738	431.239
108	Marshall Islands	180.0	World	13.0	13.899	14.665	17.283	20.397	25.58	30.581	38.334	47.3	51.02	52.161	52.058	52.428	52.993
109	Mauritania	1030700.0	World	660.491	746.914	858.316	992.474	1148.936	1328.672	1534.141	1767.099	2024.163	2334.388	2708.095	3146.164	3609.42	4080.224
110	Mauritius	2040.0	World	493.254	570.645	660.023	753.285	826.447	892.208	966.036	1015.763	1055.865	1128.676	1185.143	1212.752	1230.659	1253.581
111	Mexico	1964380.0	World	28295.514	32905.586	38676.974	45338.827	52988.138	61708.369	70353.013	77859.344	86077.004	95392.647	103873.607	110731.826	117886.404	125235.587
112	Monaco	2.0	World	20.0	19.658	22.454	23.283	23.484	25.201	26.746	28.836	29.438	30.7	32.081	33.808	36.845	38.32
113	Mongolia	1564120.0	World	780.199	855.096	955.508	1107.119	1278.82	1479.648	1689.621	1921.881	2184.159	2298.063	2397.473	2526.502	2712.738	2923.05
114	Montenegro	13810.0	World	394.738	441.406	479.099	506.949	531.555	554.67	579.088	594.509	614.601	614.669	611.196	615.82	620.078	621.556
115	Morocco	446550.0	World	8985.99	10502.663	12328.534	14092.269	15916.387	17685.326	19798.703	22277.541	24674.974	26833.093	28710.123	30125.445	31642.36	33955.157
