"Year","PC_Name","PC_No","PC_Type","AC_Name","AC_No","AC_Type","CandID","Cand","Party","Votes_In_AC","State_Name"
2004,"PARVATHIPURAM",2,"ST","Vunukuru",13,"GEN",1,"KISHORE CHANDRA SURYANA","INC",50863,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Palakonda",14,"GEN",4,"ARIKA GUMPASWAMY","IND",1254,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Palakonda",14,"GEN",3,"UOOYAKA MUTYALU","IND",944,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Palakonda",14,"GEN",2,"DADICHILUKA VEERA GOURI S","TDP",42652,"Andhara_Pradesh"
2004,"PARVATHIPURAM",2,"ST","Palakonda",14,"GEN",1,"KISHORE CHANDRA SURYANA","INC",34389,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Bobbili",11,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",2450,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Bobbili",11,"GEN",2,"JHANSI BOTCHA","INC",52596,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Bobbili",11,"GEN",4,"G.VENKATESH","TRS",1371,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Bobbili",11,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",42731,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Therlam",12,"GEN",2,"JHANSI BOTCHA","INC",46846,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Therlam",12,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",55768,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Therlam",12,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",999,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Therlam",12,"GEN",4,"G.VENKATESH","TRS",1383,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Etcherla",17,"GEN",2,"JHANSI BOTCHA","INC",54904,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Etcherla",17,"GEN",4,"G.VENKATESH","TRS",2154,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Etcherla",17,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",52927,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Etcherla",17,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",1530,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Cheepurupalli",18,"GEN",4,"G.VENKATESH","TRS",2103,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Cheepurupalli",18,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",1169,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Cheepurupalli",18,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",49129,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Cheepurupalli",18,"GEN",2,"JHANSI BOTCHA","INC",57600,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Gajapathinagaram",19,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",3553,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Gajapathinagaram",19,"GEN",4,"G.VENKATESH","TRS",3444,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Gajapathinagaram",19,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",51106,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Gajapathinagaram",19,"GEN",2,"JHANSI BOTCHA","INC",36987,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Vizianagaram",20,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",67564,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Vizianagaram",20,"GEN",2,"JHANSI BOTCHA","INC",41566,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Vizianagaram",20,"GEN",4,"G.VENKATESH","TRS",2193,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Vizianagaram",20,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",5430,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Sathivada",21,"GEN",4,"G.VENKATESH","TRS",1483,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Sathivada",21,"GEN",3,"PEDDINTI JAGANMOHAN RAO","IND",936,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Sathivada",21,"GEN",2,"JHANSI BOTCHA","INC",51351,"Andhara_Pradesh"
2004,"BOBBILI",3,"GEN","Sathivada",21,"GEN",1,"KONDAPALLI PYDITHALLI NAID","TDP",54244,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",10,"APPARAO GUDIVADA","IND",311,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",9,"MAMIDI SOMUNAIDU","RJD",320,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",50271,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",2405,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",1,"JANARDHANA REDDY NEDURU","INC",48117,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",8,"S.V.B.REDDY","IND",388,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",4,"BHARANIKANA RAMA RAO","IND",391,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",943,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",891,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bhogapuram",22,"GEN",7,"VAMSI KIRAN.B","PPOI",519,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",784,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",4,"BHARANIKANA RAMA RAO","IND",480,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",1027,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",1,"JANARDHANA REDDY NEDURU","INC",57679,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",7,"VAMSI KIRAN.B","PPOI",490,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",9,"MAMIDI SOMUNAIDU","RJD",395,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",8,"S.V.B.REDDY","IND",409,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",56683,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",2030,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Bheemunipatnam",23,"GEN",10,"APPARAO GUDIVADA","IND",298,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",23655,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",4,"BHARANIKANA RAMA RAO","IND",1787,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",263,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",341,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",1,"JANARDHANA REDDY NEDURU","INC",45174,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",718,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",8,"S.V.B.REDDY","IND",114,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",7,"VAMSI KIRAN.B","PPOI",146,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",10,"APPARAO GUDIVADA","IND",93,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-I",24,"GEN",9,"MAMIDI SOMUNAIDU","RJD",73,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",4,"BHARANIKANA RAMA RAO","IND",3639,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",5,"MANDEM SUBHASH CHANDRA","SP",598,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",3,"KOLAVENTI SUNDARA RAO","BSP",1880,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",10,"APPARAO GUDIVADA","IND",266,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",6,"SATYANARAYANA MACHIRAJU","IND",768,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",2,"DR.M.V.V.S.MURTHY","TDP",72320,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",7,"VAMSI KIRAN.B","PPOI",419,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",8,"S.V.B.REDDY","IND",322,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",9,"MAMIDI SOMUNAIDU","RJD",243,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Visakhapatnam-II",25,"GEN",1,"JANARDHANA REDDY NEDURU","INC",125448,"Andhara_Pradesh"
2004,"VISAKHAPATNAM",4,"GEN","Pendurthi",26,"GEN",9,"MAMIDI SOMUNAIDU","RJD",411,"Andhara_Pradesh"
