"State_Name","PC_No","AC_No","PC_Name","PC_Type","AC_Name","AC_Type"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,26,"Karimnagar","GEN","Karimnagar","GEN"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
"Andhara_Pradesh",3,27,"Karimnagar","GEN","Choppadandi","SC"
